city_development_index,enrolled_university,education_level,experience,company_size,last_new_job,training_hours,Central_city,Experience_index,relevent_experience_Has relevent experience,relevent_experience_No relevent experience,gender_Female,gender_Male,gender_Other,major_discipline_Arts,major_discipline_Business Degree,major_discipline_Humanities,major_discipline_No Major,major_discipline_Other,major_discipline_STEM,company_type_Early Stage Startup,company_type_Funded Startup,company_type_NGO,company_type_Other,company_type_Public Sector,company_type_Pvt Ltd,company_type_Unknown,target
0.743,0,5,13,0,1,0.068452381,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.666,0,3,2,7,1,0.369047619,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.855,1,3,2,7,1,0.136904762,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.624,2,3,6,0,6,0.0625,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0.55,0,4,2,1,1,0.107142857,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0.624,1,4,1,1,1,0.160714286,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.926,0,4,6,1,1,0.044642857,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.92,0,2,5,0,1,0.416666667,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0.926,0,2,3,0,1,0.06547619,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.878,0,5,21,4,5,0.291666667,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.939,0,2,5,0,1,0.104166667,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.91,0,4,6,8,2,0.37202381,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.775,0,3,7,4,3,0.285714286,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.555,0,4,19,8,2,0.169642857,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.949,0,2,20,0,6,0.443452381,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.789,0,3,6,8,3,0.244047619,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.92,0,3,14,3,3,0.017857143,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0.91,0,3,4,2,2,0.133928571,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.698,0,2,2,0,6,0.19047619,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.92,0,4,21,6,5,0.148809524,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0.924,0,3,16,3,5,0.18452381,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.896,0,4,4,0,3,0.306547619,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.92,0,3,12,6,2,0.014880952,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.91,0,3,16,0,1,0.303571429,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.92,0,3,21,0,5,0.101190476,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0.92,0,3,21,0,5,0.797619048,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.926,0,3,4,1,4,0.047619048,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.92,0,3,6,3,1,0.44047619,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.92,2,2,16,0,6,0.410714286,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0.884,0,3,15,2,1,0.255952381,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0.579,2,3,8,0,1,0.3125,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.92,0,3,21,4,5,0.032738095,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.624,0,3,3,0,1,0.151785714,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.92,0,3,0,4,1,0.226190476,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.92,0,3,20,8,1,0.047619048,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.923,0,3,21,4,5,0.449404762,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.92,0,3,5,1,4,0.053571429,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0.92,0,3,21,0,2,0.095238095,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.897,0,3,17,8,1,0.077380952,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.624,0,3,3,0,1,0.589285714,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.926,0,3,21,0,6,0.458333333,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.802,0,2,0,0,2,0.119047619,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0.924,2,3,3,3,1,0.023809524,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.91,0,3,5,3,1,0.041666667,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.949,0,4,21,4,5,0.318452381,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.926,0,4,21,3,4,0.12797619,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.878,0,4,21,1,2,0.011904762,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.92,0,3,19,0,3,0.107142857,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.924,0,3,9,5,1,0.160714286,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.624,2,3,2,1,2,0.264880952,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0.926,0,2,7,2,5,0.330357143,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.92,0,3,6,0,1,0.050595238,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0.624,0,3,5,4,6,0.258928571,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.893,0,4,4,5,1,0.053571429,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.92,0,3,21,7,1,0.31547619,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.939,0,2,14,3,3,0.032738095,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.92,0,3,3,4,2,0.101190476,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0.92,0,3,21,7,2,0.547619048,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.887,0,4,11,3,2,0.035714286,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.92,0,5,2,1,1,0.077380952,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0.74,0,4,14,6,1,0.583333333,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0.624,2,3,6,0,6,0.035714286,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.92,0,3,13,1,4,0.089285714,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0.827,0,3,14,0,1,0.324404762,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.92,0,3,21,0,1,0.035714286,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0.55,0,3,9,2,1,0.068452381,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.926,0,3,21,7,1,0.288690476,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.856,0,3,12,3,6,0.18452381,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.92,0,3,5,4,5,0.270833333,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
0.843,1,3,6,1,1,0.071428571,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.624,2,3,9,0,2,0.023809524,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.754,2,3,4,1,1,0.044642857,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.923,0,4,21,0,5,0.05952381,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.926,0,4,16,4,5,0.110119048,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.682,0,3,6,3,1,0.601190476,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.92,0,4,7,8,1,0.026785714,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.624,0,3,10,6,1,0.642857143,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.92,0,4,5,8,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.579,2,3,8,0,1,0.0625,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.624,0,3,12,8,5,0.06547619,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.92,0,3,9,8,1,0.273809524,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.855,0,2,0,0,6,0.110119048,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.926,0,3,6,3,5,0.25,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.624,1,4,8,6,1,0.083333333,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.836,0,4,14,0,1,0.017857143,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.92,1,3,10,0,1,0.047619048,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0.754,0,3,12,0,2,0.297619048,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0.804,2,4,10,6,5,0.18452381,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.55,0,3,4,3,1,0.047619048,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.924,0,3,14,1,4,0.494047619,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.855,2,3,8,3,2,0.196428571,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.91,0,3,16,2,1,0.157738095,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.624,0,3,21,0,1,0.541666667,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0.92,0,4,17,3,2,0.032738095,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.807,0,4,5,0,1,0.279761905,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.624,2,3,3,0,1,0.214285714,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.92,0,4,3,0,6,0.273809524,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.92,0,3,16,8,5,0.142857143,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.92,0,3,9,7,2,0.080357143,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.624,2,2,3,0,6,0.083333333,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0.897,0,4,21,0,5,0.0625,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.743,0,3,11,1,1,0.351190476,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.91,2,3,4,3,1,0.026785714,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.926,1,4,19,3,2,0.011904762,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.925,2,3,11,3,1,0.803571429,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.866,1,4,0,3,1,0.053571429,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.698,0,3,2,2,1,0.589285714,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.55,0,3,8,2,1,0.110119048,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0.92,0,3,21,3,1,0.130952381,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.92,0,3,5,7,1,0.101190476,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.923,0,3,16,8,5,0.30952381,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.92,0,3,21,8,5,0.241071429,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.939,0,3,11,3,4,0.017857143,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.762,0,4,4,0,3,0.101190476,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.762,2,3,3,0,5,0.035714286,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0.855,2,4,10,8,1,0.244047619,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.624,2,3,2,4,1,0.119047619,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.827,0,3,18,0,5,0.035714286,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.91,0,3,6,5,1,0.446428571,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.92,0,3,15,8,4,0.333333333,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.624,0,3,10,0,1,0.482142857,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0.855,0,4,3,8,1,0.017857143,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.92,0,3,3,3,1,0.095238095,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.92,0,3,21,4,5,0.142857143,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0.926,0,3,16,3,3,0.583333333,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.848,0,3,10,1,1,0.116071429,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.624,2,3,3,3,1,0.044642857,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.924,0,3,21,0,5,0.12797619,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.624,0,3,6,0,2,0.19047619,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0.92,0,3,5,8,1,0.026785714,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.91,0,3,11,3,5,0.050595238,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.897,0,3,5,3,1,0.092261905,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.624,0,4,5,3,6,0.068452381,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.926,2,2,6,0,6,0.133928571,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.91,0,2,6,4,1,0.220238095,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.92,0,3,19,6,1,0.285714286,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.924,2,3,6,3,1,0.255952381,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.926,1,3,5,1,2,0.080357143,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.91,0,3,11,4,1,0.035714286,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.776,1,3,10,1,1,0.092261905,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.754,0,3,9,1,1,0.023809524,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.897,0,4,16,3,5,0.047619048,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.92,0,3,15,3,1,0.321428571,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0.92,0,2,1,0,1,0.05952381,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.92,0,3,16,3,5,0.008928571,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.579,0,3,5,3,1,0.041666667,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.92,0,4,15,8,1,0.285714286,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.763,2,4,2,3,6,0.163690476,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.926,2,3,10,0,1,0.208333333,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.624,2,2,0,0,6,0.181547619,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
0.92,0,3,21,3,5,0.449404762,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.91,0,4,8,8,1,0.020833333,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.848,0,3,6,4,4,0.413690476,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.897,0,4,3,4,1,0.175595238,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.802,0,4,8,7,1,0.303571429,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.92,0,4,14,7,5,0.196428571,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0.754,0,3,7,4,1,0.008928571,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.92,0,4,6,0,2,0.285714286,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0.939,1,2,3,7,5,0.494047619,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.92,0,4,9,8,2,0.464285714,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.897,0,4,21,8,5,0.19047619,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.895,0,2,7,0,5,0.255952381,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.92,0,3,21,1,6,0.05952381,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.624,0,3,0,0,2,0.074404762,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.91,0,4,21,4,5,0.041666667,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.91,0,3,12,2,3,0.029761905,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.624,2,3,13,2,2,0.431547619,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.698,0,3,4,0,1,0.383928571,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.92,0,2,2,0,6,0.110119048,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.92,0,3,21,0,1,0.038690476,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0.624,2,4,4,6,1,0.952380952,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.92,1,3,3,4,1,0.324404762,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0.92,2,2,9,0,4,0.166666667,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.91,0,3,9,1,1,0.291666667,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.92,2,2,3,0,1,0.136904762,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.926,0,3,21,4,5,0.056547619,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.913,0,1,7,4,1,0.026785714,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.92,0,3,20,4,5,0.05952381,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.92,0,3,15,4,3,0.148809524,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.939,0,3,21,8,2,0.202380952,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.92,0,1,1,0,6,0.169642857,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.624,0,3,6,0,2,0.116071429,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0.92,0,4,7,8,2,0.110119048,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.624,0,4,11,6,2,0.029761905,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.92,0,3,12,8,4,0.410714286,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.624,0,3,4,5,2,0.050595238,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0.698,0,3,21,4,3,0.071428571,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.92,2,3,5,4,1,0.071428571,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.624,2,3,3,0,1,0.803571429,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0.92,2,3,3,2,1,0.366071429,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.884,0,3,21,5,1,0.151785714,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.666,0,4,21,8,1,0.154761905,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.624,2,3,0,0,6,0.19047619,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0.92,0,3,5,4,1,0.116071429,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.913,0,4,21,0,5,0.148809524,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.896,2,2,4,0,6,0.55952381,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.91,0,4,10,3,4,0.166666667,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.92,0,3,9,4,1,0.050595238,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.896,0,3,4,0,1,0.196428571,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.92,0,3,21,6,2,0.080357143,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.624,0,3,14,8,1,0.041666667,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
0.92,0,4,10,0,1,0.333333333,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
0.939,0,4,7,4,1,0.333333333,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.91,2,3,6,0,1,0.136904762,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.92,0,3,3,3,1,0.154761905,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.92,0,4,13,6,5,0.089285714,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
